title,company,category,location,created,salary_min,salary_max,contract_type
Projektmanager Facility (m/w/d),persona service AG & Co. KG • Niederlassung: Essen,IT-Stellen,"Disteln, Herten",2025-03-30T00:38:35Z,55000,60000,N/A
Elektronikfertigungsmitarbeiter (m/w/d),persona service AG & Co. KG • Niederlassung: Berlin Neukölln,IT-Stellen,"Mariendorf, Berlin",2025-03-30T00:38:37Z,16,18,N/A
Expert Full Stack Software Developer (w/m/div.),Bosch Gruppe,IT-Stellen,"Dresden, Sachsen",2025-03-30T00:13:45Z,N/A,N/A,N/A
IT Expert Supply Chain Management and Logistics (m/w/d),BWI GmbH,IT-Stellen,"Bonn, Nordrhein-Westfalen",2025-03-30T00:19:58Z,N/A,N/A,N/A
Metallbauer (m/w/d),persona service AG & Co. KG • Niederlassung: Solingen,IT-Stellen,"Höhscheid, Solingen",2025-03-30T00:38:37Z,18,20,N/A
IT-Systemadministrator (m/w/d),Gieseke GmbH,IT-Stellen,"Rheine, Steinfurt (Kreis)",2025-03-30T00:13:32Z,N/A,N/A,N/A
IT-Service Managerin,Alexianer DaKS GmbH,IT-Stellen,"Münster, Nordrhein-Westfalen",2025-03-30T00:12:57Z,N/A,N/A,N/A
Projektkoordinator / Informatiker / Projektmanager (m/w/d) Einführung Campus Management Software,Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau,IT-Stellen,"Dingolfing-Landau (Kreis), Bayern",2025-03-30T13:20:21Z,N/A,N/A,N/A
(Senior) Java Backend Entwickler (m/w/d) Smart Home,eQ-3 Entwicklung GmbH,IT-Stellen,"Leer (Ostfriesland), Leer (Kreis)",2025-03-30T04:06:21Z,N/A,N/A,N/A
Systemingenieur Hydraulik (m/w/d),Kärcher Municipal GmbH,IT-Stellen,"Reutlingen, Reutlingen (Kreis)",2025-03-30T00:13:30Z,N/A,N/A,N/A
Senior Service Delivery Manager (w/m/d),NTT DATA Business Solutions AG,IT-Stellen,Deutschland,2025-03-30T00:13:42Z,N/A,N/A,N/A
Sachbearbeiter Kraftfahrt-Schadenmanagement (m/w/d) Standort Hamburg,AXA Konzern AG,IT-Stellen,"Hamburg, Deutschland",2025-03-30T00:19:56Z,N/A,N/A,N/A
Senior Functional Consultant SAP MDG (w/m/x),NTT DATA Deutschland SE,IT-Stellen,"München, München (Kreis)",2025-03-30T13:20:38Z,N/A,N/A,N/A
Senior IT Consultant - Full Stack Java Entwicklung (w/d/m),USU Digital Consulting GmbH,IT-Stellen,"München, München (Kreis)",2025-03-30T13:20:22Z,N/A,N/A,N/A
Performance Marketing & Data Analytics Manager (m/w/d),Maschinenfabrik Reinhausen GmbH,IT-Stellen,"Regensburg, Regensburg (Kreis)",2025-03-30T13:19:14Z,N/A,N/A,N/A
(Senior) Software Entwickler Java (m/w/d),Finanz Informatik Solutions Plus GmbH & Co. KG,IT-Stellen,"Frankfurt am Main, Hessen",2025-03-30T00:13:30Z,N/A,N/A,N/A
Werkstudent IT-Projektmanagement Finanzprozesse (m/w/d),Amprion GmbH,IT-Stellen,"Dortmund, Nordrhein-Westfalen",2025-03-30T00:13:43Z,N/A,N/A,N/A
System Integration Engineer (m/w/d),Saab Deutschland GmbH,IT-Stellen,"Nürnberg, Bayern",2025-03-30T16:05:54Z,N/A,N/A,N/A
"SAP FI Inhouse Consultant (m/w/d) - Top Company, innovativ",Peak One GmbH,IT-Stellen,"Espelkamp, Minden-Lübbecke (Kreis)",2025-03-30T15:38:20Z,70000,120000,permanent
Produktionsmitarbeiter (m/w/d),persona service AG & Co. KG • Niederlassung: Schwerin,IT-Stellen,"Gartenstadt, Schwerin",2025-03-30T00:38:35Z,14,16,N/A
IT-Spezialist für Microsoft 365 und PowerApps/PowerAutomate m|w|d,Franz Lohr GmbH,IT-Stellen,"Ravensburg, Ravensburg (Kreis)",2025-03-30T00:12:57Z,N/A,N/A,N/A
Azure IT Operations Expert (w/m/d),Uniper SE,IT-Stellen,"Düsseldorf, Nordrhein-Westfalen",2025-03-30T13:20:30Z,N/A,N/A,N/A
