title,company,category,location,created,salary_min,salary_max,contract_type
System Engineer (m/w/d) für Mainframe,BAYOONET AG,IT-Stellen,"München, München (Kreis)",2025-03-21T17:00:04Z,N/A,N/A,N/A
Junior Entwickler für Apps und TYPO3-Programmierer (m/w/d),bta digital GmbH,IT-Stellen,"Berlin, Deutschland",2025-03-18T19:53:12Z,N/A,N/A,N/A
Anlagenmechaniker HKLS (m/w/d),persona service AG & Co. KG • Niederlassung: Leipzig Nord,IT-Stellen,"Heiterblick, Leipzig",2025-02-20T05:51:54Z,18,20,N/A
"Engineer l, iOS - (Tech Graduate Program)",Delivery Hero,IT-Stellen,"Berlin, Deutschland",2025-03-12T00:25:11Z,N/A,N/A,N/A
Executive Assistant to the CFO (m/w/d),finanzen.net GmbH,IT-Stellen,"Karlsruhe, Karlsruhe (Kreis)",2025-03-20T18:52:59Z,N/A,N/A,N/A
SAP Ariba (Senior) Consultant Unrivalled Progression Opportunities (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Hamburg-Altstadt, Hamburg",2024-12-20T01:49:55Z,60000,120000,permanent
Sachbearbeiter Reisebüro (m/w/d) in Eislingen,persona service AG & Co. KG • Niederlassung: Göppingen,IT-Stellen,"Schwäbisch Gmünd, Ostalbkreis",2025-02-22T05:56:10Z,16,18,N/A
Projektportfoliomanagement - 12 Monate - Remote - Mai 2025,RED Global,IT-Stellen,Deutschland,2025-03-13T14:49:02Z,N/A,N/A,contract
Elektroniker für Betriebstechnik (m/w/d),persona service AG & Co. KG • Niederlassung: Hamburg Harburg,IT-Stellen,"Gut Moor, Hamburg",2025-03-05T06:15:00Z,22,24,N/A
Maschinen- und Anlagenführer Siemens (m/w/d),persona service AG & Co. KG • Niederlassung: Frankfurt Mitte,IT-Stellen,"Bornheim, Frankfurt am Main",2025-03-14T06:41:36Z,20,22,N/A
Produktionsmitarbeiter (m/w/d),persona service AG & Co. KG • Niederlassung: Freiburg,IT-Stellen,"Neuenburg am Rhein, Breisgau-Hochschwarzwald (Kreis)",2025-03-15T06:36:16Z,14,16,N/A
Java-Entwickler (m/w/d) für internationales Beratungshaus,Computer Futures,IT-Stellen,"Nürnberg, Bayern",2025-03-11T14:40:22Z,50000,100000,permanent
Manager IT- Service (m/w/d) ab sofort,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Bothfeld, Hannover",2025-03-10T19:20:33Z,N/A,N/A,permanent
Facharbeiter Mechanikfertigung (m/w/d),persona service AG & Co. KG • Niederlassung: Weilheim,IT-Stellen,"Schongau, Weilheim-Schongau (Kreis)",2025-02-22T05:56:10Z,18,20,N/A
Principal Consultant - Data and Analytics,Turner & Townsend,IT-Stellen,"München, München (Kreis)",2025-03-14T00:28:42Z,N/A,N/A,N/A
Software-Entwicklungsingenieur (m/w/d) ab sofort,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Schoppershof, Nürnberg",2025-02-19T19:11:32Z,N/A,N/A,permanent
Senior-Softwareentwickler - Java JEE (m/w/d) in Vollzeit,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Friedrichsfelde, Berlin",2025-02-05T01:29:32Z,N/A,N/A,permanent
Hybris Developer - Flexible Working Hours (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Mitte, Dortmund",2024-07-17T22:42:08Z,60000,120000,permanent
