title,company,category,location,created,salary_min,salary_max,contract_type
Lagermitarbeiter (m/w/d) in Leonberg,persona service AG & Co. KG • Niederlassung: Leonberg,IT-Stellen,"Schwieberdingen, Ludwigsburg (Kreis)",2025-05-14T14:31:40Z,14,16,N/A
Buchhalter (m/w/d),persona service AG & Co. KG • Niederlassung: Erfurt,IT-Stellen,"Bischleben-Stedten, Erfurt",2025-05-14T14:31:40Z,40000,45000,N/A
Projektkoordinator Netzanschlüsse (m/w/d),persona service AG & Co. KG • Niederlassung: Erfurt,IT-Stellen,"Roter Berg, Erfurt",2025-05-14T14:31:40Z,50000,55000,N/A
Abteilungsleitung Network Operations Center (NOC) (w/m/d),Deutsche Glasfaser,IT-Stellen,"Borken, Borken (Kreis)",2025-05-14T22:11:02Z,N/A,N/A,N/A
Netzwerkspezialist Security (m/w/d) nächster Karriereschritt!,Peak One GmbH,IT-Stellen,"Düsseldorf, Nordrhein-Westfalen",2025-05-14T15:55:30Z,75000,100000,permanent
IT-Sicherheitsbeauftragter (m/w/d),Peak One GmbH,IT-Stellen,"Weidenau, Siegen",2025-05-14T15:55:30Z,70000,90000,permanent
Schlosser (m/w/d),persona service AG & Co. KG • Niederlassung: Eisenach,IT-Stellen,"Vacha, Wartburgkreis",2025-05-14T14:31:40Z,20,22,N/A
Ingenieur (m/w/d),persona service AG & Co. KG • Niederlassung: Köln Sülz,IT-Stellen,"Dellbrück, Köln",2025-05-14T14:31:39Z,60000,70000,N/A
2 Tester (ISTQB zertifiziert)- 4 Monate - Remote - Start: ASAP,RED Global,IT-Stellen,Deutschland,2025-05-14T15:55:32Z,N/A,N/A,contract
Lead Engineer IP/MPLS (w/m/d),Deutsche Glasfaser,IT-Stellen,"Saarlouis, Saarlouis (Kreis)",2025-05-14T22:11:06Z,N/A,N/A,N/A
Produktionsfachkraft (m/w/d),persona service AG & Co. KG • Niederlassung: Düren,IT-Stellen,"Buir, Kerpen",2025-05-14T14:31:39Z,18,20,N/A
Produktionsmitarbeiter (m/w/d) in Melsungen,persona service AG & Co. KG • Niederlassung: Kassel,IT-Stellen,"Kassel, Kassel (Kreis)",2025-05-14T20:49:39Z,18,20,N/A
SAP Success Factors Consultant (m/w/d),Cavendish Professionals,IT-Stellen,Deutschland,2025-05-14T15:55:15Z,N/A,N/A,permanent
Fachlagerist (m/w/d),persona service AG & Co. KG • Niederlassung: Norderstedt,IT-Stellen,"Fuhlsbüttel, Hamburg",2025-05-14T14:31:39Z,20,22,N/A
Staplerfahrer (m/w/d),persona service AG & Co. KG • Niederlassung: Stade,IT-Stellen,"Neugraben-Fischbek, Hamburg",2025-05-14T14:31:40Z,16,18,N/A
Schlosser (m/w/d) in Vacha,persona service AG & Co. KG • Niederlassung: Eisenach,IT-Stellen,"Bad Hersfeld, Hersfeld-Rotenburg (Kreis)",2025-05-14T14:31:40Z,20,22,N/A
Außendienstmitarbeiter (m/w/d),persona service AG & Co. KG • Niederlassung: Weilheim,IT-Stellen,"Mitte, Stuttgart",2025-05-14T14:31:39Z,55000,60000,N/A
