title,company,category,location,created,salary_min,salary_max,contract_type
IT - Netzwerkadministrator (m/w/d),Bela,IT-Stellen,"Schreventeich, Kiel",2025-05-04T01:40:47Z,N/A,N/A,N/A
Mitarbeiter DMS-Anwendungsbetreuung (m/w/d),Rostocker Straßenbahn AG ,IT-Stellen,"Rostock, Mecklenburg-Vorpommern",2025-05-04T19:21:22Z,N/A,N/A,N/A
Process & Systems Manager Ariba (m/w/d),Unternehmensgruppe Theo Müller GmbH & Co. KG,IT-Stellen,"Fischach, Augsburg (Kreis)",2025-05-04T19:21:15Z,N/A,N/A,N/A
Lead Unified Customer Contact Engineer (all genders),BNP Paribas S.A.,IT-Stellen,"Duisburg, Nordrhein-Westfalen",2025-05-04T19:21:19Z,N/A,N/A,N/A
Lagermitarbeiter (m/w/d),persona service AG & Co. KG • Niederlassung: Landshut,IT-Stellen,"Mairing, Deggendorf (Kreis)",2025-05-04T01:45:50Z,16,18,N/A
Fullstack Webentwickler (m/w/d) - Java / Angular,HanseMerkur Versicherungsgruppe,IT-Stellen,"Hamburg, Deutschland",2025-05-04T19:19:02Z,N/A,N/A,N/A
SAP SD Berater (m/w/d),MACHEREY-NAGEL GmbH & Co. KG,IT-Stellen,"Düren, Düren (Kreis)",2025-05-04T07:23:17Z,N/A,N/A,N/A
Elektroniker (m/w/d) im Energy Bereich,TRIOPT GmbH,IT-Stellen,"Moers, Wesel (Kreis)",2025-05-04T19:21:20Z,N/A,N/A,N/A
(Senior) System Administrator Schwerpunkt Client-Devices (m/w/d),NetCologne IT Services GmbH,IT-Stellen,"Köln, Nordrhein-Westfalen",2025-05-04T19:21:39Z,N/A,N/A,N/A
IT-Systemadministrator*in (1st-Level-Support),Libri GmbH Bad Hersfeld,IT-Stellen,"Bad Hersfeld, Hersfeld-Rotenburg (Kreis)",2025-05-04T19:19:30Z,N/A,N/A,N/A
Maschinenbediener (m/w/d),persona service AG & Co. KG • Niederlassung: Esslingen,IT-Stellen,"Wendlingen am Neckar, Esslingen (Kreis)",2025-05-04T01:45:50Z,14,16,N/A
Senior Software Developer Circular Economy (m/w/d) - remote,PROLOGA GmbH,IT-Stellen,Deutschland,2025-05-04T19:19:23Z,N/A,N/A,N/A
Category Manager - IT (m/f/d),C&A Mode GmbH & Co. KG,IT-Stellen,"Düsseldorf, Nordrhein-Westfalen",2025-05-04T19:19:19Z,N/A,N/A,N/A
