title,company,category,location,created,salary_min,salary_max,contract_type
(Senior) Software-Architekt (m/w/d),RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Oberneuland, Bremen",2025-05-08T21:34:33Z,N/A,N/A,permanent
Maschinenführer (m/w/d),persona service AG & Co. KG • Niederlassung: Tuttlingen,IT-Stellen,"Tuttlingen, Tuttlingen (Kreis)",2025-05-08T01:49:46Z,24,26,N/A
Application Owner Salesforce Service & Marketing Cloud (w/m/d),Deutsche Glasfaser,IT-Stellen,"Düsseldorf, Nordrhein-Westfalen",2025-05-08T04:10:05Z,N/A,N/A,N/A
SAP S/4 Hana Master Data/Datamigration Consultant,RED Global,IT-Stellen,Deutschland,2025-05-08T15:51:40Z,N/A,N/A,contract
Servicetechniker (m/w/d),persona service AG & Co. KG • Niederlassung: Berlin Wedding,IT-Stellen,"Spandau, Berlin",2025-05-08T08:17:24Z,16,18,N/A
Bürokauffrau (m/w/d),persona service AG & Co. KG • Niederlassung: Halle,IT-Stellen,"Halle (Saale), Sachsen-Anhalt",2025-05-08T01:49:41Z,35000,40000,N/A
IT Application Manager ERP (m/w/d) in Olpe,persona service AG & Co. KG • Niederlassung: Olpe,IT-Stellen,"Kreuztal, Siegen-Wittgenstein (Kreis)",2025-05-08T08:17:24Z,80000,100000,N/A
Montagemitarbeiter (m/w/d),persona service AG & Co. KG • Niederlassung: Heilbronn,IT-Stellen,"Grollenhof, Heilbronn (Kreis)",2025-05-08T08:17:24Z,16,18,N/A
Mechatroniker (m/w/d),persona service AG & Co. KG • Niederlassung: Görlitz,IT-Stellen,"Hohendubrau, Görlitz (Kreis)",2025-05-08T08:17:24Z,16,18,N/A
Product Owner für App-Entwicklung (w/m/d),Deutsche Glasfaser,IT-Stellen,"Saarlouis, Saarlouis (Kreis)",2025-05-08T16:02:22Z,N/A,N/A,N/A
WIG Schweißer (m/w/d),persona service AG & Co. KG • Niederlassung: Memmingen,IT-Stellen,"Memmingen, Memmingen (Kreis)",2025-05-08T01:49:45Z,22,24,N/A
Security Operations Center Lead (m/f/x) onsite / remote in Germany,Scalable GmbH,IT-Stellen,"Berlin, Deutschland",2025-05-08T04:10:03Z,N/A,N/A,N/A
Personalsachbearbeiter (m/w/d),persona service AG & Co. KG • Niederlassung: Worms,IT-Stellen,"Neuhausen, Worms",2025-05-08T01:49:41Z,50000,55000,N/A
Fertigungsmitarbeiter Elektronik (m/w/d),persona service AG & Co. KG • Niederlassung: Aachen,IT-Stellen,"Walheim, Aachen",2025-05-08T08:17:23Z,16,18,N/A
Industrielackierer (m/w/d),persona service AG & Co. KG • Niederlassung: Esslingen,IT-Stellen,"Nürtingen, Esslingen (Kreis)",2025-05-08T08:17:24Z,16,18,N/A
Elektriker Schaltschrankbau (m/w/d),persona service AG & Co. KG • Niederlassung: Dresden Nord,IT-Stellen,"Äußere Neustadt, Dresden",2025-05-08T08:17:24Z,16,18,N/A
Marketing Spezialist (m/w/d),persona service AG & Co. KG • Niederlassung: Albstadt,IT-Stellen,"Hechingen, Zollernalbkreis",2025-05-08T08:17:13Z,40000,45000,N/A
