title,company,category,location,created,salary_min,salary_max,contract_type
Maschinen- und Anlagenführer (m/w/d) in Göttingen,persona service AG & Co. KG • Niederlassung: Göttingen,IT-Stellen,"Witzenhausen, Werra-Meißner-Kreis",2025-04-26T07:57:12Z,16,18,N/A
Backofficemitarbeiter Kundenservice (m/w/d),persona service AG & Co. KG • Niederlassung: Gütersloh,IT-Stellen,"Langenberg, Gütersloh (Kreis)",2025-04-26T07:57:12Z,18,20,N/A
Kundendiensttechniker (m/w/d),persona service AG & Co. KG • Niederlassung: Wuppertal,IT-Stellen,"Elberfeld, Wuppertal",2025-04-26T07:57:11Z,20,22,N/A
Elektriker (m/w/d),persona service AG & Co. KG • Niederlassung: Lörrach,IT-Stellen,"Schopfheim, Lörrach (Kreis)",2025-04-26T07:57:10Z,20,22,N/A
Presales Consultant (SaaS/CRM),Zoho Corporation Europe,IT-Stellen,"Altendorf, Essen",2025-04-26T02:03:21Z,N/A,N/A,N/A
Buchhalter (m/w/d),persona service AG & Co. KG • Niederlassung: Berlin Wedding,IT-Stellen,"Reinickendorf, Berlin",2025-04-26T07:57:11Z,16,18,N/A
Montierer (m/w/d) in Arnsberg,persona service AG & Co. KG • Niederlassung: Arnsberg,IT-Stellen,"Soest, Soest (Kreis)",2025-04-26T07:57:12Z,14,16,N/A
Oracle PL/SQL Developer - Hannover,Oliver James Associates,IT-Stellen,"Region Hannover (Kreis), Niedersachsen",2025-04-26T15:47:12Z,45000,55000,permanent
Montierer (m/w/d) in Arnsberg,persona service AG & Co. KG • Niederlassung: Arnsberg,IT-Stellen,"Meschede, Hochsauerlandkreis",2025-04-26T07:57:12Z,14,16,N/A
Medizinische Fachangestellte (m/w/d) in Potsdam,persona service AG & Co. KG • Niederlassung: Potsdam,IT-Stellen,"Ludwigsfelde, Teltow-Fläming (Kreis)",2025-04-26T07:57:13Z,20,22,N/A
Radladerfahrer (m/w/d),persona service AG & Co. KG • Niederlassung: Magdeburg,IT-Stellen,"Haldensleben, Börde (Kreis)",2025-04-26T07:57:13Z,16,18,N/A
Montagemitarbeiter (m/w/d),persona service AG & Co. KG • Niederlassung: Arnsberg,IT-Stellen,"Moosfelde, Arnsberg",2025-04-26T07:57:12Z,14,16,N/A
Klammerstaplerfahrer (m/w/d),persona service AG & Co. KG • Niederlassung: Düren,IT-Stellen,"Rölsdorf, Düren",2025-04-26T07:57:10Z,16,18,N/A
Medizinische Fachangestellte (m/w/d),persona service AG & Co. KG • Niederlassung: Potsdam,IT-Stellen,"Templiner Vorstadt, Potsdam",2025-04-26T07:57:13Z,20,22,N/A
Logistiker (m/w/d),persona service AG & Co. KG • Niederlassung: Rastatt,IT-Stellen,"Malsch, Karlsruhe (Kreis)",2025-04-26T07:57:10Z,14,16,N/A
Montierer (m/w/d) in Arnsberg,persona service AG & Co. KG • Niederlassung: Arnsberg,IT-Stellen,"Meschede, Hochsauerlandkreis",2025-04-26T07:57:12Z,14,16,N/A
SAP HCM Inhouse Berater (m/w/d),Computer Futures,IT-Stellen,"Berlin, Deutschland",2025-04-26T15:47:23Z,60000,90000,permanent
Maschinen- und Anlagenführer (m/w/d),persona service AG & Co. KG • Niederlassung: Göttingen,IT-Stellen,"Knutbühren, Göttingen",2025-04-26T07:57:10Z,16,18,N/A
Produktionsmitarbeiter (m/w/d) in Arnsberg,persona service AG & Co. KG • Niederlassung: Arnsberg,IT-Stellen,"Soest, Soest (Kreis)",2025-04-26T07:57:13Z,14,16,N/A
Tester (m/w/d) gesucht // Start: Asap,SThree,IT-Stellen,"Hamburg, Deutschland",2025-04-26T15:47:27Z,N/A,N/A,contract
Produktionsmitarbeiter (m/w/d),persona service AG & Co. KG • Niederlassung: Arnsberg,IT-Stellen,"Moosfelde, Arnsberg",2025-04-26T07:57:10Z,14,16,N/A
Sachbearbeiter Schadensmanagement (m/w/d),persona service AG & Co. KG • Niederlassung: Rostock,IT-Stellen,"Brinckmansdorf, Rostock",2025-04-26T07:57:12Z,16,18,N/A
Kommissionierer (m/w/d),persona service AG & Co. KG • Niederlassung: Fulda,IT-Stellen,"Besges, Fulda",2025-04-26T07:57:10Z,14,16,N/A
Mitarbeitender im Vertrieb mit dem Schwerpunkt IT-Security (m/w/d),Techniklotsen GmbH,IT-Stellen,"Bielefeld, Nordrhein-Westfalen",2025-04-26T07:14:51Z,N/A,N/A,N/A
Versicherungskaufmann (m/w/d),persona service AG & Co. KG • Niederlassung: Elmshorn,IT-Stellen,"Itzehoe, Steinburg (Kreis)",2025-04-26T07:57:11Z,24,26,N/A
