title,company,category,location,created,salary_min,salary_max,contract_type
Fachkraft für Lagerlogistik (m/w/d),persona service AG & Co. KG • Niederlassung: Oberhausen,IT-Stellen,"Dümpten, Mülheim an der Ruhr",2025-04-13T07:40:14Z,16,18,N/A
Customer Support Specialist (m/w/d),InNuce Solutions GmbH,IT-Stellen,"Ottensen, Hamburg",2025-04-13T06:01:30Z,N/A,N/A,N/A
Elektroniker/-in für Sicherheitstechnik (m/w/d),Enrichment Technology Company Limited,IT-Stellen,"Jülich, Düren (Kreis)",2025-04-13T04:38:18Z,N/A,N/A,N/A
Experte für Messtechnik Gas (m/w/d),Kasseler Verkehrs- und Versorgungs-GmbH,IT-Stellen,"Kassel, Kassel (Kreis)",2025-04-13T04:38:17Z,N/A,N/A,N/A
Maschinen- und Anlagenführer in der Stahlbearbeitung (m/w/d),Gebrüder MEISER GmbH,IT-Stellen,"Schmelz, Saarlouis (Kreis)",2025-04-13T04:38:18Z,N/A,N/A,N/A
Werkstudent (w/m/d) Informatik mit Schwerpunkt Power Apps,EagleBurgmann Espey GmbH,IT-Stellen,"Repelen, Moers",2025-04-13T19:02:41Z,N/A,N/A,N/A
Programmierer für CNC Maschinen (m/w/d),Caterpillar Energy Solutions GmbH,IT-Stellen,"Mannheim, Baden-Württemberg",2025-04-13T19:02:35Z,N/A,N/A,N/A
SAP FI Beraterin (a),Hamburger Energienetze GmbH,IT-Stellen,"Hamburg, Deutschland",2025-04-13T06:57:41Z,N/A,N/A,N/A
Systemingenieur für elektromechanische Baugruppenintegration (m/w/d),Rheinmetall Landsysteme GmbH,IT-Stellen,"Kassel, Kassel (Kreis)",2025-04-13T07:04:23Z,N/A,N/A,N/A
Industrieelektriker (m/w/d) Montage,A+B Electronic,IT-Stellen,Deutschland,2025-04-13T04:38:19Z,N/A,N/A,N/A
(Junior) Consultant SAP Administration in Cyber Security Architecture (m/w/d),Schwarz IT,IT-Stellen,"Neckarsulm, Heilbronn (Kreis)",2025-04-13T07:04:04Z,N/A,N/A,N/A
Werkstudent IT (m/w/t/-),RENAULT RETAIL GROUP Deutschland GmbH,IT-Stellen,"Köln, Nordrhein-Westfalen",2025-04-13T19:02:23Z,N/A,N/A,N/A
Softwareentwickler / Programmierer C# (w/m/d) Teilzeit und Vollzeit,TARGOBANK,IT-Stellen,"Duisburg, Nordrhein-Westfalen",2025-04-13T07:02:02Z,N/A,N/A,N/A
DHBW-Studium Bachelor of Science – Wirtschaftsinformatik – Application Management ITK (01.09.2025),WGV - Württembergische Gemeinde-Versicherung a.G.,IT-Stellen,"Stuttgart, Baden-Württemberg",2025-04-13T19:00:20Z,N/A,N/A,N/A
Service Delivery Manager – DevOps Managed Services (all genders),Exxeta AG,IT-Stellen,"Berlin, Deutschland",2025-04-13T07:02:15Z,N/A,N/A,N/A
Senior SAP Entwickler:in / Consultant als Entwickler:in,Vonovia,IT-Stellen,"Bochum, Nordrhein-Westfalen",2025-04-13T19:00:23Z,N/A,N/A,N/A
Junior Application Managerin Solution Architect (in Voll- oder Teilzeit) mit Direkteinstieg PLUS,Union Investment,IT-Stellen,"Frankfurt am Main, Hessen",2025-04-13T19:04:39Z,N/A,N/A,N/A
IT-Mitarbeiter (m/w/d) mit dem Schwerpunkt Administration der Windows-Clients,Landwirtschaftskammer Rheinland-Pfalz,IT-Stellen,"Bad Kreuznach, Bad Kreuznach (Kreis)",2025-04-13T18:59:15Z,N/A,N/A,N/A
Frontend Softwareentwickler (m/w/d) – Frontend Developer,validdata GmbH,IT-Stellen,"Hamminkeln, Wesel (Kreis)",2025-04-13T05:22:06Z,N/A,N/A,N/A
Werkstudent Informatik / Wirtschaftsinformatik (m/w/d),SOURCE GmbH,IT-Stellen,"Wiesbaden, Wiesbaden (Kreis)",2025-04-13T18:58:21Z,N/A,N/A,N/A
Integration Engineer - Compact EW (m/w/d),Saab Deutschland GmbH,IT-Stellen,"Nürnberg, Bayern",2025-04-13T07:03:23Z,N/A,N/A,N/A
Java Softwareentwickler (m/w/d) - Java Fullstack Developer,Ratbacher GmbH,IT-Stellen,"Heidelberg, Baden-Württemberg",2025-04-13T07:04:36Z,N/A,N/A,N/A
IT Support Engineer,Amazon Europe Core,IT-Stellen,"Helmstedt, Helmstedt (Kreis)",2025-04-13T07:01:53Z,N/A,N/A,N/A
IT-Prozessmanager / IT-Koordinator (m/w/d),Statistisches Landesamt Rheinland-Pfalz,IT-Stellen,"Bad Ems, Rhein-Lahn-Kreis",2025-04-13T04:38:20Z,N/A,N/A,N/A
IT-Support Mitarbeiter (m/w/d),Neue Landbuch Gesellschaft mbH & Co. KG,IT-Stellen,"Verden (Aller), Verden (Kreis)",2025-04-13T05:22:04Z,N/A,N/A,N/A
Softwareentwickler (m/w/d) App / Unity,Vincent Systems GmbH,IT-Stellen,"Hagsfeld, Karlsruhe",2025-04-13T01:39:24Z,N/A,N/A,N/A
Fachinformatiker Anwendungsentwicklung – Verkehr / Umwelt / Klima (m/w/d),AVISO GmbH,IT-Stellen,"Aachen, Aachen (Kreis)",2025-04-13T18:59:10Z,N/A,N/A,N/A
Qualitätsmanager IT (m/w/d) Öffentliche Immobilienwirtschaft,HR UNIVERSAL GmbH,IT-Stellen,"Potsdam, Brandenburg",2025-04-13T19:02:18Z,N/A,N/A,N/A
IT Security Specialist,Harting Technology Group,IT-Stellen,"Espelkamp, Minden-Lübbecke (Kreis)",2025-04-13T19:00:26Z,N/A,N/A,N/A
Industriemechaniker / Schlosser (m/w/d),Arcus Elektrotechnik GmbH,IT-Stellen,"München, München (Kreis)",2025-04-13T04:38:18Z,N/A,N/A,N/A
Senior Cyber Security Expert PowerGen Automation (m/w/d),Rolls-Royce Power Systems AG,IT-Stellen,"Friedrichshafen, Bodenseekreis",2025-04-13T19:02:32Z,N/A,N/A,N/A
Initiativbewerbung Software Ingenieur (m/w/d),Academic Work GmbH,IT-Stellen,"Altstadt-Lehel, München",2025-04-13T03:54:42Z,N/A,N/A,N/A
IT-Systemadministrator Schwerpunkt Windows Server,NEW YORKER,IT-Stellen,"Braunschweig, Niedersachsen",2025-04-13T18:58:38Z,N/A,N/A,N/A
Softwareberaterin / Softwareberater (m/w/d) mit Schwerpunkt SAP-Archivierung,Zweckverband Kommunales Rechenzentrum Niederrhein ,IT-Stellen,"Kamp-Lintfort, Wesel (Kreis)",2025-04-13T04:38:18Z,N/A,N/A,N/A
IT-Support Berater (m/w/d),Neue Landbuch Gesellschaft mbH & Co. KG,IT-Stellen,"Verden (Aller), Verden (Kreis)",2025-04-13T05:24:31Z,N/A,N/A,N/A
Werkstudent IT Projektmanagement (m/w/d),Obungi GmbH,IT-Stellen,"Hamburg, Deutschland",2025-04-13T19:02:29Z,N/A,N/A,N/A
IT-Architekt / Enterprise Architect (m/w/d),Amadeus Fire AG,IT-Stellen,"Mannheim, Baden-Württemberg",2025-04-13T07:04:26Z,N/A,N/A,N/A
IT Business Engineer im agilen Produktteam Price Management (m/w/d),REWE digital,IT-Stellen,"Eil, Köln",2025-04-13T07:39:41Z,N/A,N/A,N/A
IT Business Solution Expert (m/w/d),Nabaltec AG,IT-Stellen,"Schwandorf, Schwandorf (Kreis)",2025-04-13T09:09:35Z,N/A,N/A,N/A
Bereichsleiterin für den Bereich IT und Ressourcen (m/w/div),Deutsche Rentenversicherung Bund,IT-Stellen,"Berlin, Deutschland",2025-04-13T18:58:45Z,N/A,N/A,N/A
Duales Studium Angewandte Informatik 2025 (m/w/d),Schwarz IT,IT-Stellen,"Neckarsulm, Heilbronn (Kreis)",2025-04-13T06:57:35Z,N/A,N/A,N/A
Business Partner IT Business Central (gn),Peter Cremer Holding GmbH & Co. KG.,IT-Stellen,"Hamburg, Deutschland",2025-04-13T19:02:31Z,N/A,N/A,N/A
"Quereinstieg zum (Junior) Web-Entwickler - 100% remote, ohne Vorkenntnisse (m/w/d/)",Syntax Institut,IT-Stellen,"Heiligenkirchen, Detmold",2025-04-13T21:00:16Z,N/A,N/A,permanent
Operations Manager Brokerage (m/f/d),Upvest,IT-Stellen,"Berlin, Deutschland",2025-04-13T22:55:51Z,N/A,N/A,N/A
Entwicklungsingenieur für Energiesysteme (m/w/d),WTZ Motorentechnik GmbH,IT-Stellen,"Brambach, Dessau-Roßlau",2025-04-13T21:22:21Z,N/A,N/A,N/A
Embedded Software Ingenieur (m/w/d) für IoT-Hardware,Telic AG,IT-Stellen,Deutschland,2025-04-13T05:10:05Z,N/A,N/A,N/A
Internship / Master Thesis / HiWi (m/w/d),Meshcapade,IT-Stellen,Deutschland,2025-04-13T00:37:07Z,N/A,N/A,N/A
"Karrierewechsel einfach: Werde (Junior) Web-Entwickler - 100% remote, ohne Vorkenntnisse (m/w/d/)",Syntax Institut,IT-Stellen,"Siegburg, Rhein-Sieg-Kreis",2025-04-13T21:00:18Z,N/A,N/A,permanent
Elektroniker für Betriebstechnik SPS Programmierung (m/w/d),Ludden & Mennekes Entsorgungs-Systeme GmbH,IT-Stellen,"Papenburg, Emsland (Kreis)",2025-04-13T13:07:54Z,N/A,N/A,N/A
"Karrierewechsel einfach: Werde (Junior) Web-Entwickler - 100% remote, ohne Vorkenntnisse (m/w/d/)",Syntax Institut,IT-Stellen,"Gräfrath, Solingen",2025-04-13T21:00:16Z,N/A,N/A,permanent
"Karrierewechsel einfach: Werde App-Entwickler - für Quereinsteiger, 100% remote (m/w/d/)",Syntax Institut,IT-Stellen,"Küppersteg, Leverkusen",2025-04-13T21:00:16Z,N/A,N/A,permanent
IT-Fachinformatiker/in (m/w/d),Lunecon Systemhaus GmbH,IT-Stellen,"Westerstede, Ammerland (Kreis)",2025-04-13T19:02:10Z,N/A,N/A,N/A
Head of Level Design & Balancing (m/w/d),CipSoft GmbH,IT-Stellen,"Großprüfening-Dechbetten-Königswiesen, Regensburg",2025-04-13T17:56:54Z,N/A,N/A,permanent
Technischer Support (m/w/d) – After Sales,AETNA Deutschland GmbH,IT-Stellen,"Stuttgart, Baden-Württemberg",2025-04-13T19:02:18Z,N/A,N/A,N/A
Techniker (m/w/d),Christof Fischer GmbH,IT-Stellen,"Fellbach, Rems-Murr-Kreis",2025-04-13T04:38:16Z,N/A,N/A,N/A
Senior SAP Developer / Software Architekt - S/4HANA & BTP (m/w/d),gicom AG,IT-Stellen,"Dortmund, Nordrhein-Westfalen",2025-04-13T22:49:00Z,N/A,N/A,N/A
"Deine Chance: Werde (Junior) Softwareentwickler - Quereinstieg, 100% online (m/w/d/)",Syntax Institut,IT-Stellen,"Allrath, Grevenbroich",2025-04-13T21:00:18Z,N/A,N/A,permanent
Systemingenieur IT-Infrastruktur / Netzwerk (m/d/w),AOK Sachsen-Anhalt – Die Gesundheitskasse,IT-Stellen,"Magdeburg, Sachsen-Anhalt",2025-04-13T07:04:30Z,N/A,N/A,N/A
Projekt IT-Ingenieur (m/w/d),Fresenius Kabi AG,IT-Stellen,"Friedberg, Aichach-Friedberg (Kreis)",2025-04-13T19:02:38Z,N/A,N/A,N/A
Intermediate Software Developer in Bremen (w/m/d),encoway GmbH,IT-Stellen,"Lehe, Bremen",2025-04-13T17:56:48Z,N/A,N/A,permanent
(Senior) Data Architect (m/w/d),Stadtwerke Düsseldorf AG,IT-Stellen,"Düsseldorf, Nordrhein-Westfalen",2025-04-13T19:02:45Z,N/A,N/A,N/A
Freiberufliche Studienreiseleitung (m/w/d),Gebeco GmbH & Co. KG,IT-Stellen,"Ravensberg, Kiel",2025-04-13T21:30:30Z,N/A,N/A,N/A
IT-Organisator /in - Callcenter (m/w/d),PerZukunft Arbeitsvermittlung GmbH&Co.KG,IT-Stellen,"Berlin, Deutschland",2025-04-13T21:27:49Z,N/A,N/A,permanent
"Deine Chance: Werde (Junior) Softwareentwickler - Quereinstieg, 100% online (m/w/d/)",Syntax Institut,IT-Stellen,"Beckhausen, Gelsenkirchen",2025-04-13T21:00:18Z,N/A,N/A,permanent
"Karrierewechsel einfach: Werde App-Entwickler - für Quereinsteiger, 100% remote (m/w/d/)",Syntax Institut,IT-Stellen,"Altenlingen, Lingen (Ems)",2025-04-13T21:00:16Z,N/A,N/A,permanent
Technischer Leiter (w/m/d),Städtische Werke Borna GmbH,IT-Stellen,"Borna, Leipzig (Kreis)",2025-04-13T20:02:58Z,N/A,N/A,N/A
"Quereinstieg zum (Junior) App-Entwickler - 100% remote, ohne Vorkenntnisse (m/w/d/)",Syntax Institut,IT-Stellen,"Ebersteinburg, Baden-Baden",2025-04-13T21:00:18Z,N/A,N/A,permanent
IT Administrator (m/w/d) – Windows Server und Citrix,GkD Gesellschaft für kommunale Dienstleistungen mbH,IT-Stellen,"Bayenthal, Köln",2025-04-13T21:21:56Z,N/A,N/A,N/A
Softwareentwickler zur Projektunterstützung Opus::L (m/w/d),Dedalus Labor,IT-Stellen,Deutschland,2025-04-13T21:46:24Z,N/A,N/A,N/A
Device Provisioning für Edge-Systeme für das Industrial IoT,M&M Software,IT-Stellen,"St. Georgen im Schwarzwald, Schwarzwald-Baar-Kreis",2025-04-13T21:46:40Z,N/A,N/A,N/A
(Senior) Developer ServiceNow (m/w/d),CANCOM SE,IT-Stellen,"Berlin, Deutschland",2025-04-13T06:57:54Z,N/A,N/A,N/A
"Vertriebsmanager (m/w/d) Kompression für die Region Köln, Heinsberg, Grevenbroich",Bauerfeind AG,IT-Stellen,"Altstadt-Nord, Köln",2025-04-13T17:49:05Z,N/A,N/A,N/A
Leitung Fachbereich IT Dortmund (w/m/d),Caritas Dortmund,IT-Stellen,"Mitte, Dortmund",2025-04-13T01:44:03Z,N/A,N/A,N/A
"Quereinstieg zum (Junior) App-Entwickler - 100% remote, ohne Vorkenntnisse (m/w/d/)",Syntax Institut,IT-Stellen,"Innenstadt, Bielefeld",2025-04-13T21:00:17Z,N/A,N/A,permanent
IT-Supporter:in im 2nd-Level (w/m/d),AGAcareIT gGmbH,IT-Stellen,"Berlin, Deutschland",2025-04-13T19:01:47Z,N/A,N/A,N/A
Network Security Engineer (m/w/d) in Erfurt,accompio GmbH von Jobs-Daheim.de,IT-Stellen,"Erfurt, Erfurt (Kreis)",2025-04-13T22:00:20Z,N/A,N/A,N/A
System Engineer (w/m/d) Application Operations Energiewirtschaft,50Hertz Transmission GmbH,IT-Stellen,"Berlin, Deutschland",2025-04-13T19:02:12Z,N/A,N/A,N/A
Werkstudent IT-Support (m/w/d),Rohde & Schwarz GmbH & Co. KG,IT-Stellen,"München, München (Kreis)",2025-04-13T19:02:39Z,N/A,N/A,N/A
Business Continuity Koordinator (m/w/d),ekom21 - KGRZ Hessen,IT-Stellen,"Niederzwehren, Kassel",2025-04-13T21:22:02Z,N/A,N/A,N/A
Software Entwickler (m/w/d) Java,ROHDE & SCHWARZ Messgerätebau GmbH,IT-Stellen,"Memmingen, Memmingen (Kreis)",2025-04-13T06:59:40Z,N/A,N/A,N/A
Public Cloud Engineer Schwerpunkt Storage (m/w/d),SIGNAL IDUNA Gruppe,IT-Stellen,"Hamburg, Deutschland",2025-04-13T06:58:28Z,N/A,N/A,N/A
"IT-Ingenieur / Systemadministrator (m/w/d) Schwerpunkt IT-Sicherheit und Künstliche Intelligenz (z. B. Fachinformatiker, Informationstechnologe)",Bihl+Wiedemann GmbH,IT-Stellen,"Mannheim, Baden-Württemberg",2025-04-13T19:02:39Z,N/A,N/A,N/A
COBOL-Entwickler (m/w/d),NOWEDA Apothekergenossenschaft eG,IT-Stellen,"Essen, Nordrhein-Westfalen",2025-04-13T06:57:43Z,N/A,N/A,N/A
"Karrierewechsel einfach: Werde (Junior) Web-Entwickler - 100% remote, ohne Vorkenntnisse (m/w/d/)",Syntax Institut,IT-Stellen,"Happing, Rosenheim",2025-04-13T21:00:18Z,N/A,N/A,permanent
Senior Data Processing & Reporting Architect (w/m/d),ORDIX AG,IT-Stellen,"Benhausen, Paderborn",2025-04-13T21:00:18Z,N/A,N/A,permanent
Direkteinstieg Software Sales (m/w/d) HR-Lohn Software,Sage GmbH,IT-Stellen,"Westend-Süd, Frankfurt am Main",2025-04-13T17:48:47Z,N/A,N/A,N/A
"Quereinstieg zum (Junior) App-Entwickler - 100% remote, ohne Vorkenntnisse (m/w/d/)",Syntax Institut,IT-Stellen,"Kaulsdorf, Berlin",2025-04-13T21:00:19Z,N/A,N/A,permanent
Azure Cloud Operations Engineer (m/w/d),Arvato Systems National Cloud GmbH,IT-Stellen,"Leipzig, Leipzig (Kreis)",2025-04-13T07:03:44Z,N/A,N/A,N/A
DevOps Engineer (m/w/d),IVU Informationssysteme GmbH,IT-Stellen,"Burglengenfeld, Schwandorf (Kreis)",2025-04-13T19:04:33Z,N/A,N/A,N/A
Data & Process Specialist (m/w/d),enercity Netz GmbH,IT-Stellen,"Hannover, Region Hannover (Kreis)",2025-04-13T04:38:18Z,N/A,N/A,N/A
Neuroevolution AI Engineer (m/w/d) – Self-Learning UAV Intelligence & Adaptive Swarm Behavior,autonomous-teaming,IT-Stellen,Deutschland,2025-04-13T23:04:51Z,N/A,N/A,N/A
Werkstudent / Praktikant (m/w/d) für Web-Shop,Staatliche Porzellan-Manufaktur Meissen GmbH,IT-Stellen,"Meißen, Meißen (Kreis)",2025-04-13T19:02:29Z,N/A,N/A,N/A
"Quereinstieg zum (Junior) App-Entwickler - 100% remote, ohne Vorkenntnisse (m/w/d/)",Syntax Institut,IT-Stellen,"Anger, Erlangen",2025-04-13T21:00:19Z,N/A,N/A,permanent
Praktikant/ Werkstudent (all gender) Infotainment,TUI Cruises GmbH,IT-Stellen,"Berlin, Deutschland",2025-04-13T19:02:19Z,N/A,N/A,N/A
Senior Software Developer - Scheduling & Optimization (m|w|d),SERVICE 1 GmbH,IT-Stellen,"Paderborn, Paderborn (Kreis)",2025-04-13T18:58:48Z,N/A,N/A,N/A
"Quereinstieg zum (Junior) App-Entwickler - 100% remote, ohne Vorkenntnisse (m/w/d/)",Syntax Institut,IT-Stellen,"Hamburg-Insel Neuwerk, Hamburg",2025-04-13T21:00:19Z,N/A,N/A,permanent
IT-Systemadministrator (m/w/d),Armbruster W. Teigwarenfabrik GmbH,IT-Stellen,"Griesheim, Offenburg",2025-04-13T05:23:27Z,N/A,N/A,N/A
Technischer Support / Second Level Support (m/w/d),Energieversum GmbH & Co. KG,IT-Stellen,"Steinhagen, Gütersloh (Kreis)",2025-04-13T19:02:33Z,N/A,N/A,N/A
CNC Abkanter (m/w/d),DIS AG,IT-Stellen,"Bad Soden-Salmünster, Main-Kinzig-Kreis",2025-04-13T01:39:01Z,N/A,N/A,N/A
Presales Solutions Architect (gn) Cloud Services in Lindau,SoftwareOne Deutschland GmbH von Jobs-Daheim.de,IT-Stellen,"Lindau (Bodensee), Lindau (Kreis)",2025-04-13T22:00:22Z,N/A,N/A,N/A
