title,company,category,location,created,salary_min,salary_max,contract_type
Senior .NET Developer (m/w/d) bis 80.000€,Computer Futures,IT-Stellen,"Hausen, Frankfurt am Main",2025-04-28T15:48:00Z,60000,80000,permanent
".NET Software Engineer, .NET 9, C# - Record Label - Berlin",Noir,IT-Stellen,"Berlin, Deutschland",2025-04-28T15:47:57Z,90000,110000,permanent
Frontend Angular Developer - 6 months - Remote - May 2025,RED Global,IT-Stellen,Deutschland,2025-04-28T15:47:59Z,N/A,N/A,contract
.NET Software Developer (m/w/d) Vollzeitstelle,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Laurensberg, Aachen",2025-04-28T21:19:45Z,N/A,N/A,permanent
".NET Software Engineer, .NET 9, C# - Computer Gaming - Berlin",Noir,IT-Stellen,"Berlin, Deutschland",2025-04-28T15:47:57Z,55000,75000,permanent
Werkstudent Social Media für desired (m/w/d),Ströer Media Brands GmbH,IT-Stellen,"Berlin, Deutschland",2025-04-28T15:41:00Z,N/A,N/A,N/A
"Frontend Developer - Bremen, Germany",Noir,IT-Stellen,"Altstadt, Bremen",2025-04-28T15:47:57Z,70000,90000,permanent
.NET Software Engineer - Marketing Platform - Berlin,Noir,IT-Stellen,"Berlin, Deutschland",2025-04-28T15:47:57Z,75000,95000,permanent
SAP-Berechtigungsspezialist (m/w/d) - Innovation,Peak One GmbH,IT-Stellen,"Stephanskirchen, Rosenheim (Kreis)",2025-04-28T15:47:58Z,70000,105000,permanent
Frontend Developer - Berlin,Noir,IT-Stellen,"Moabit, Berlin",2025-04-28T15:47:55Z,80000,110000,permanent
C / C++ Softwareentwickler (m/w/d) mit Langzeiterfahrung,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Thalk.Obersendl.-Forsten-Fürstenr.-Solln, München",2025-04-28T21:19:50Z,N/A,N/A,permanent
Fullstack Drupal Entwickler - 12 Monate - 100% Remote - Juni,RED Global,IT-Stellen,Deutschland,2025-04-28T15:47:59Z,N/A,N/A,contract
