title,company,category,location,created,salary_min,salary_max,contract_type
Sachbearbeiterin IT-Management (m/w/d),Gemeinde Helgoland,IT-Stellen,"Helgoland, Pinneberg (Kreis)",2025-04-13T07:02:13Z,N/A,N/A,N/A
Senior Shopify Developer (m/w/d),Vitabay,IT-Stellen,"Bayenthal, Köln",2025-04-13T06:01:30Z,N/A,N/A,N/A
Duales Studium Angewandte Informatik 2025 (m/w/d),Schwarz IT,IT-Stellen,"Neckarsulm, Heilbronn (Kreis)",2025-04-13T06:57:35Z,N/A,N/A,N/A
Backend Developer (m/w/d),BMS Corporate Solutions GmbH,IT-Stellen,"Düsseldorf, Nordrhein-Westfalen",2025-04-13T19:02:37Z,N/A,N/A,N/A
ganzheitlich arbeitende Integrationsfachkraft ─ gIFK (m/w/d),Stadt Flensburg,IT-Stellen,"Flensburg, Schleswig-Holstein",2025-04-13T07:02:00Z,N/A,N/A,N/A
IT Security Specialist,Harting Technology Group,IT-Stellen,"Espelkamp, Minden-Lübbecke (Kreis)",2025-04-13T19:00:26Z,N/A,N/A,N/A
Ausbildung zum Fachinformatiker für Systemintegration (m/w/d),KIS GmbH & Co. KG,IT-Stellen,"Schönefeld, Leipzig",2025-04-13T06:57:50Z,N/A,N/A,N/A
IT-Risikomanager (m/w/d) für die First-Line of Defense,Öffentliche Sachversicherung Braunschweig,IT-Stellen,"Braunschweig, Niedersachsen",2025-04-13T19:02:28Z,N/A,N/A,N/A
Inhouse Consultant - SAP SD/MM (f/m/div.),Bosch Gruppe,IT-Stellen,"Straubing, Straubing (Kreis)",2025-04-13T07:05:32Z,N/A,N/A,N/A
IT Security Engineer (m/w/d) (Verwaltungsangestellte/Verwaltungsangestellter – m/w/d),Hochschule Bochum - Bochum University of Applied Sciences,IT-Stellen,"Bochum, Nordrhein-Westfalen",2025-04-13T18:58:48Z,N/A,N/A,N/A
Werkstudent (w/m/d) Informatik mit Schwerpunkt Power Apps,EagleBurgmann Espey GmbH,IT-Stellen,"Repelen, Moers",2025-04-13T19:02:41Z,N/A,N/A,N/A
Sachbearbeiter Einkauf (m/w/d),DIS AG,IT-Stellen,"Laatzen, Region Hannover (Kreis)",2025-04-13T01:39:01Z,N/A,N/A,N/A
IT Anwendungsbetreuer in (w/m/d) im Krankenhaus,Evangelische Stiftung Alsterdorf - Heinrich Sengelmann Kliniken gGmbH,IT-Stellen,"Duvenstedt, Hamburg",2025-04-13T01:39:43Z,N/A,N/A,N/A
CNC-Programmierer (m/w/d),Maschinenfabrik Herkules Hans Thoma GmbH,IT-Stellen,"Volnsberg, Siegen",2025-04-13T05:24:26Z,N/A,N/A,N/A
Network Security Engineer (m/w/d) - Netzwerk Security Administrator,Ratbacher GmbH,IT-Stellen,"Stuttgart, Baden-Württemberg",2025-04-13T07:02:17Z,N/A,N/A,N/A
Technischer Support / Second Level Support (m/w/d),Energieversum GmbH & Co. KG,IT-Stellen,"Steinhagen, Gütersloh (Kreis)",2025-04-13T19:02:33Z,N/A,N/A,N/A
Project Scheduler (m/w/d),Enrichment Technology Company Limited,IT-Stellen,Deutschland,2025-04-13T04:38:19Z,N/A,N/A,N/A
IT-Experte/in Infrastruktur,Herrmann Ultraschalltechnik GmbH & Co. KG,IT-Stellen,"Karlsbad, Karlsruhe (Kreis)",2025-04-13T19:02:10Z,N/A,N/A,N/A
Manager (m/w/d) Systemintegration und Verifikation für Kommunikationssysteme,Diehl Defence GmbH & Co. KG,IT-Stellen,Deutschland,2025-04-13T06:57:47Z,N/A,N/A,N/A
Solution Architect Salesforce CRM (all genders),adesso SE,IT-Stellen,"Bonn, Nordrhein-Westfalen",2025-04-13T07:03:38Z,N/A,N/A,N/A
Werkstudent IT (m/w/t/-),RENAULT RETAIL GROUP Deutschland GmbH,IT-Stellen,"Köln, Nordrhein-Westfalen",2025-04-13T19:02:23Z,N/A,N/A,N/A
IT Support Engineer (m/w/d),Amazon Europe Core,IT-Stellen,Deutschland,2025-04-13T07:02:19Z,N/A,N/A,N/A
Abiturientin für Duales Studium Informatik 2023 (m/w/d),Swarco AG,IT-Stellen,"Gaggenau, Rastatt (Kreis)",2025-04-13T09:43:45Z,N/A,N/A,N/A
Kundenservice / IT Support / Quereinsteiger & Studienabbrecher (m/w/d),HR Diagnostics AG,IT-Stellen,"Stuttgart, Baden-Württemberg",2025-04-13T19:02:35Z,N/A,N/A,N/A
Fachinformatiker - IT Administrator (m/w/d),GWS Stadtwerke Hameln GmbH,IT-Stellen,"Am Schöt, Hameln",2025-04-13T11:49:58Z,N/A,N/A,N/A
ERP Consultant MM und SD (m/w/x),ZEISS,IT-Stellen,"Oberkochen, Ostalbkreis",2025-04-13T07:03:37Z,N/A,N/A,N/A
Softwareentwickler (w/m/d) für Energiehandel,citiworks AG,IT-Stellen,Deutschland,2025-04-13T19:02:32Z,N/A,N/A,N/A
Junior Software Developer - Golang / Angular / Cloud (w/m/d),GoCaspi GmbH,IT-Stellen,"Bremen, Deutschland",2025-04-13T19:02:28Z,N/A,N/A,N/A
Mechatroniker (m/w/d),Bucher Hydraulics GmbH,IT-Stellen,Deutschland,2025-04-13T04:38:18Z,N/A,N/A,N/A
Mitarbeiter (m/w/d) Beauftragtenwesen,Sparkasse Rhein Neckar Nord,IT-Stellen,"Innenstadt, Mannheim",2025-04-13T01:39:24Z,N/A,N/A,N/A
(Junior) Consultant SAP Administration in Cyber Security Architecture (m/w/d),Schwarz IT,IT-Stellen,"Neckarsulm, Heilbronn (Kreis)",2025-04-13T07:04:04Z,N/A,N/A,N/A
IT Engineer als Embedded Software Entwickler (m/w/d),Swarco AG,IT-Stellen,"Innenstadt, Trier",2025-04-13T09:43:45Z,N/A,N/A,N/A
Working Student / Cloud Software Engineering,ASEG-Adobe Systems Engineering,IT-Stellen,"Hamburg, Deutschland",2025-04-13T21:46:55Z,N/A,N/A,N/A
Stellenangebot Data Engineer (m/w/d) bei CHEFS CULINAR West GmbH & Co. KG,CITTI Handelsgesellschaft mbH u. Co. KG,IT-Stellen,"Weeze, Kleve (Kreis)",2025-04-13T00:09:25Z,N/A,N/A,N/A
Softwareentwickler (m/w/d) IAM,SIGNAL IDUNA Gruppe,IT-Stellen,Deutschland,2025-04-13T11:49:58Z,N/A,N/A,N/A
IT Developer (m/w/d) mit Schwerpunkt M365,VolkswagenStiftung,IT-Stellen,"Hannover, Region Hannover (Kreis)",2025-04-13T19:02:27Z,N/A,N/A,N/A
Programmierer für CNC Maschinen (m/w/d),Caterpillar Energy Solutions GmbH,IT-Stellen,"Mannheim, Baden-Württemberg",2025-04-13T19:02:35Z,N/A,N/A,N/A
"IT-Systemintegrator / Fachinformatiker (m/w/d) Infrastruktur, Microsoft 365, Azure",validdata GmbH,IT-Stellen,"Hamminkeln, Wesel (Kreis)",2025-04-13T05:23:27Z,N/A,N/A,N/A
Professur Informatik (m/w/d),IU Internationale Hochschule,IT-Stellen,"Dresden, Sachsen",2025-04-13T19:00:19Z,N/A,N/A,N/A
Disponent (m/w/d) im Zug- und Güterverkehr - hybrides Arbeiten (Remote & Präsenz),DIS AG,IT-Stellen,"Mitte, Berlin",2025-04-13T01:39:01Z,N/A,N/A,N/A
Wir suchen aktuell: IT System Engineer Microsoft-Cloud (m/w/d),LargeNet,IT-Stellen,"Borgfelde, Hamburg",2025-04-13T01:18:10Z,40000,70000,N/A
